iter	Passed	Remaining
0	68	68291
1	72	36199
2	76	25588
3	82	20605
4	87	17508
5	91	15209
6	95	13581
7	101	12579
8	108	11932
9	113	11211
10	117	10606
11	122	10063
12	126	9571
13	131	9275
14	137	9047
15	143	8844
16	149	8632
17	155	8463
18	159	8236
19	164	8075
20	170	7954
21	175	7792
22	179	7623
23	184	7499
24	189	7398
25	196	7346
26	201	7265
27	205	7143
28	211	7085
29	216	6990
30	221	6921
31	227	6894
32	234	6861
33	240	6837
34	246	6808
35	251	6727
36	260	6784
37	265	6711
38	272	6716
39	278	6676
40	285	6678
41	290	6635
42	295	6569
43	299	6509
44	305	6486
45	310	6446
46	316	6407
47	321	6372
48	325	6323
49	332	6311
50	337	6285
51	344	6282
52	350	6259
53	354	6202
54	360	6189
55	369	6225
56	374	6198
57	380	6174
58	385	6150
59	392	6144
60	398	6130
61	406	6153
62	411	6123
63	419	6131
64	426	6128
65	438	6206
66	445	6199
67	451	6190
68	459	6201
69	468	6220
70	473	6196
71	485	6260
72	491	6245
73	502	6292
74	508	6266
75	515	6266
76	521	6251
77	526	6223
78	534	6231
79	539	6204
80	544	6172
81	550	6160
82	555	6139
83	562	6136
84	573	6175
85	582	6195
86	592	6220
87	606	6281
88	612	6268
89	620	6276
90	627	6266
91	639	6308
92	644	6282
93	652	6287
94	658	6277
95	665	6268
96	671	6255
97	678	6245
98	687	6253
99	693	6240
100	699	6223
101	703	6193
102	708	6167
103	713	6144
104	718	6123
105	725	6118
106	733	6123
107	738	6098
108	743	6074
109	746	6042
110	751	6021
111	756	5994
112	760	5969
113	765	5951
114	770	5926
115	774	5899
116	779	5881
117	783	5855
118	788	5838
119	793	5821
120	799	5804
121	803	5780
122	808	5764
123	814	5756
124	824	5769
125	829	5753
126	834	5738
127	838	5713
128	846	5718
129	852	5703
130	857	5685
131	861	5664
132	866	5645
133	870	5622
134	873	5599
135	879	5584
136	883	5568
137	887	5545
138	893	5533
139	899	5525
140	903	5504
141	908	5492
142	913	5475
143	917	5452
144	922	5442
145	927	5423
146	931	5405
147	936	5390
148	940	5371
149	944	5353
150	950	5342
151	954	5322
152	958	5308
153	964	5295
154	968	5277
155	972	5263
156	977	5248
157	982	5235
158	986	5220
159	994	5222
160	999	5207
161	1004	5196
162	1009	5182
163	1014	5168
164	1018	5156
165	1022	5137
166	1027	5125
167	1032	5112
168	1037	5099
169	1042	5089
170	1047	5078
171	1052	5065
172	1057	5055
173	1063	5050
174	1068	5039
175	1073	5024
176	1079	5020
177	1086	5015
178	1090	5001
179	1096	4993
180	1103	4991
181	1108	4982
182	1116	4982
183	1121	4972
184	1127	4965
185	1131	4952
186	1139	4952
187	1145	4947
188	1150	4936
189	1156	4929
190	1161	4918
191	1165	4906
192	1171	4898
193	1176	4886
194	1180	4875
195	1186	4867
196	1194	4867
197	1199	4858
198	1205	4851
199	1210	4840
200	1216	4837
201	1222	4828
202	1228	4821
203	1232	4809
204	1237	4799
205	1242	4789
206	1247	4777
207	1255	4779
208	1259	4768
209	1265	4760
210	1270	4750
211	1274	4738
212	1279	4729
213	1285	4722
214	1289	4707
215	1294	4699
216	1298	4685
217	1303	4676
218	1308	4666
219	1317	4670
220	1322	4661
221	1327	4652
222	1332	4642
223	1338	4636
224	1342	4624
225	1347	4614
226	1352	4606
227	1359	4602
228	1368	4606
229	1374	4602
230	1384	4607
231	1390	4603
232	1395	4594
233	1400	4583
234	1407	4583
235	1414	4577
236	1419	4570
237	1427	4570
238	1433	4565
239	1445	4575
240	1450	4569
241	1458	4568
242	1464	4563
243	1470	4557
244	1476	4549
245	1481	4542
246	1487	4533
247	1493	4527
248	1498	4520
249	1504	4513
250	1508	4502
251	1514	4495
252	1519	4486
253	1524	4476
254	1529	4468
255	1535	4463
256	1541	4456
257	1549	4457
258	1557	4455
259	1564	4451
260	1571	4449
261	1575	4438
262	1581	4432
263	1591	4437
264	1597	4431
265	1604	4427
266	1610	4420
267	1618	4420
268	1624	4414
269	1631	4410
270	1637	4404
271	1641	4394
272	1646	4384
273	1654	4383
274	1659	4376
275	1672	4387
276	1676	4376
277	1683	4371
278	1690	4368
279	1696	4361
280	1703	4357
281	1708	4349
282	1712	4337
283	1718	4331
284	1723	4324
285	1727	4313
286	1734	4309
287	1739	4300
